,PC6,M_INKHH
993,1015VS,4
994,1015VT,5
995,1015VV,2
996,1015VW,4
997,1015VX,2
998,1015VZ,2
999,1015WB,2
1000,1015WC,2
1001,1015WD,1
1002,1015WE,7
1003,1015WG,4
1004,1015WH,5
1005,1015WJ,5
1006,1015WK,4
1007,1015WL,8
1008,1015WN,8
1009,1015WP,2
1010,1015WR,2
1011,1015WS,2
1012,1015WT,2
1013,1015WV,2
1014,1015WX,1
1015,1015WZ,5
1016,1015XA,1
1017,1015XB,2
1018,1015XC,2
1019,1015XD,5
1020,1015XE,2
1021,1015XH,5
1022,1015XJ,2
1023,1015XK,4
1024,1015XL,1
1025,1015XM,7
1026,1015XN,4
1027,1015XP,4
1028,1015XR,9
1029,1015XS,5
1030,1015XT,7
1031,1015XV,5
1032,1015XW,5
1033,1015XX,5
1034,1015ZB,2
1035,1015ZD,2
1036,1015ZE,2
1037,1015ZG,7
1038,1015ZH,8
1039,1015ZJ,8
1040,1015ZK,7
1041,1015ZL,4
1042,1015ZN,2
1043,1015ZP,7
1044,1016AA,9
1045,1016AC,8
1046,1016AD,9
1047,1016AE,9
1048,1016AH,5
1049,1016AK,10
1050,1016AL,5
1051,1016AN,2
1052,1016AR,9
1053,1016AT,5
1054,1016BB,1
1055,1016BC,8
1056,1016BD,5
1057,1016BE,11
1058,1016BG,11
1059,1016BH,10
1060,1016BJ,5
1061,1016BK,1
1062,1016BN,10
1063,1016BP,8
1064,1016BS,11
1065,1016BT,11
1066,1016BV,11
1067,1016BW,9
1068,1016BX,9
1069,1016BZ,5
1070,1016CA,2
1071,1016CB,5
1072,1016CC,11
1073,1016CD,9
1074,1016CE,11
1075,1016CG,11
1076,1016CH,8
1077,1016CJ,7
1078,1016CK,5
1079,1016CP,2
1080,1016CR,8
1081,1016CS,11
1082,1016CW,8
1083,1016CX,7
1084,1016CZ,5
1085,1016DA,7
1086,1016DE,2
1087,1016DH,9
1088,1016DJ,2
1089,1016DM,5
1090,1016DN,8
1091,1016DP,8
1092,1016DR,10
1093,1016DV,10
1094,1016DX,7
1095,1016DZ,11
1096,1016EA,10
1097,1016EB,11
1098,1016EC,11
1099,1016ED,2
1100,1016EE,5
1101,1016EG,8
1102,1016EH,11
1103,1016EJ,11
1104,1016EK,11
1105,1016EL,5
1106,1016EM,1
1107,1016EN,8
1108,1016EP,2
1109,1016ER,5
1110,1016ES,7
1111,1016EV,4
1112,1016EW,11
1113,1016GA,8
1114,1016GC,11
1115,1016GD,11
1116,1016GG,8
1117,1016GH,9
1118,1016GJ,7
1119,1016GK,8
1120,1016GM,8
1121,1016GN,8
1122,1016GR,11
1123,1016GW,5
1124,1016GX,11
1125,1016HA,11
1126,1016HC,2
1127,1016HD,5
1128,1016HE,10
1129,1016HG,11
1130,1016HH,11
1131,1016HJ,10
1132,1016HK,11
1133,1016HL,11
1134,1016HM,10
1135,1016HN,10
1136,1016HP,8
1137,1016HR,10
1138,1016HS,4
1139,1016HT,7
1140,1016HV,9
1141,1016HW,10
1142,1016HX,5
1143,1016HZ,2
1144,1016JA,5
1145,1016JB,7
1146,1016JC,11
1147,1016KB,10
1148,1016KC,8
1149,1016KD,7
1150,1016KE,9
1151,1016KG,10
1152,1016KH,5
1153,1016KJ,5
1154,1016KK,2
1155,1016KL,10
1156,1016KP,9
1157,1016KR,5
1158,1016KS,5
1159,1016KT,5
1160,1016KV,5
1161,1016KW,8
1162,1016KX,5
1163,1016KZ,5
1164,1016LA,4
1165,1016LB,5
1166,1016LC,5
1167,1016LD,5
1168,1016LE,2
1169,1016LG,8
1170,1016LH,2
1171,1016LJ,9
1172,1016LK,4
1173,1016LL,5
1174,1016LM,10
1175,1016LN,4
1176,1016LP,5
1177,1016LR,9
1178,1016LS,7
1179,1016LT,5
1180,1016LV,5
1181,1016LW,5
1182,1016LX,2
1183,1016LZ,2
1184,1016MA,2
1185,1016MB,2
1186,1016MC,2
1187,1016NA,2
1188,1016NB,5
1189,1016NC,10
1190,1016ND,7
1191,1016NE,8
1192,1016NG,1
1193,1016NH,10
1194,1016NJ,5
1195,1016NK,2
1196,1016NL,2
1197,1016NM,5
1198,1016NN,5
1199,1016NP,2
1200,1016NR,10
1201,1016NS,2
1202,1016NT,9
1203,1016NV,4
1204,1016NX,5
1205,1016NZ,2
1206,1016PA,7
1207,1016PB,5
1208,1016PC,5
1209,1016PE,2
1210,1016PG,8
1211,1016PH,5
1212,1016PJ,5
1213,1016PK,5
1214,1016PL,4
1215,1016PM,4
1216,1016PN,8
1217,1016PR,2
1218,1016PS,7
1219,1016PT,5
1220,1016PV,5
1221,1016PW,2
1222,1016PZ,7
1223,1016RA,2
1224,1016RB,5
1225,1016RC,9
1226,1016RD,11
1227,1016RE,5
1228,1016RG,9
1229,1016RH,8
1230,1016RJ,9
1231,1016RK,7
1232,1016RL,7
1233,1016RM,7
1234,1016RN,5
1235,1016RP,8
1236,1016RR,9
1237,1016RS,5
1238,1016RT,9
1239,1016RV,9
1240,1016RW,9
1241,1016RX,8
1242,1016RZ,8
1243,1016SB,2
1244,1016SC,2
1245,1016SG,2
1246,1016SH,7
1247,1016SJ,2
1248,1016SK,5
1249,1016SM,8
1250,1016SN,10
1251,1016SP,10
1252,1016SR,8
1253,1016ST,5
1254,1016SX,5
1255,1016SZ,5
1256,1016TA,8
1257,1016TB,8
1258,1016TC,10
1259,1016TD,8
1260,1016TE,10
1261,1016TG,5
1262,1016TH,5
1263,1016TJ,10
1264,1016TK,1
1265,1016TL,10
1266,1016TM,9
1267,1016TN,5
1268,1016TP,2
1269,1016TR,5
1270,1016TS,5
1271,1016TV,5
1272,1016TW,9
1273,1016TX,5
1274,1016TZ,2
1275,1016VA,2
1276,1016VB,7
1277,1016VD,4
1278,1016VE,10
1279,1016VG,4
1280,1016VH,4
1281,1016VJ,8
1282,1016VK,4
1283,1016VL,9
1284,1016VM,5
1285,1016VN,4
1286,1016VP,5
1287,1016VR,9
1288,1016VS,8
1289,1016VT,9
1290,1016VV,5
1291,1016VW,10
1292,1016VX,5
1293,1016VZ,2
1294,1016WB,8
1295,1016WC,10
1296,1016XA,10
1297,1016XB,9
1298,1016XC,9
1299,1016XD,2
1300,1016XG,9
1301,1016XH,7
1302,1016XJ,5
1303,1016XK,10
1304,1016XL,8
1305,1016XM,7
1306,1016XR,7
1307,1016XS,4
1308,1016XT,4
1309,1016XV,5
1310,1016XW,8
1311,1016XX,8
1312,1016XZ,4
1313,1016ZA,9
1314,1016ZB,5
1315,1017AA,4
1316,1017AB,5
1317,1017AD,9
1318,1017AG,9
1319,1017AH,5
1320,1017AJ,7
1321,1017AK,8
1322,1017AL,10
1323,1017AM,10
1324,1017AN,4
1325,1017AP,8
1326,1017AS,10
1327,1017AV,8
1328,1017AX,8
1329,1017AZ,8
1330,1017BA,10
1331,1017BC,11
1332,1017BG,2
1333,1017BJ,2
1334,1017BK,7
1335,1017BL,1
1336,1017BM,1
1337,1017BN,5
1338,1017BP,11
1339,1017BS,8
1340,1017BV,2
1341,1017BW,11
1342,1017BX,10
1343,1017BZ,5
1344,1017CC,10
1345,1017CD,10
1346,1017CE,8
1347,1017CH,10
1348,1017CJ,11
1349,1017CL,2
1350,1017CR,4
1351,1017CS,5
1352,1017CV,2
1353,1017CX,7
1354,1017CZ,5
1355,1017DA,8
1356,1017DD,9
1357,1017DE,11
1358,1017DJ,8
1359,1017DK,8
1360,1017DL,11
1361,1017DM,10
1362,1017DN,9
1363,1017DP,10
1364,1017DR,10
1365,1017DS,10
1366,1017DT,11
1367,1017DW,5
1368,1017DX,8
1369,1017EA,9
1370,1017EB,11
1371,1017EC,8
1372,1017ED,11
1373,1017EE,11
1374,1017EG,5
1375,1017EH,11
1376,1017EJ,9
1377,1017EK,11
1378,1017EL,10
1379,1017EN,11
1380,1017ER,11
1381,1017ES,10
1382,1017ET,11
1383,1017EV,11
1384,1017EW,9
1385,1017EX,11
1386,1017GA,9
1387,1017GB,2
1388,1017GC,10
1389,1017GD,8
1390,1017GE,10
1391,1017GG,10
1392,1017GH,7
1393,1017GJ,9
1394,1017GK,8
1395,1017GL,8
1396,1017GM,8
1397,1017GN,11
1398,1017GP,2
1399,1017GS,9
1400,1017GT,9
1401,1017GV,8
1402,1017GW,11
1403,1017GX,1
1404,1017GZ,10
1405,1017HA,8
1406,1017HB,10
1407,1017HC,8
1408,1017HH,8
1409,1017HJ,10
1410,1017HK,5
1411,1017HM,5
1412,1017HP,8
1413,1017HR,8
1414,1017HV,10
1415,1017HW,8
1416,1017HX,10
1417,1017HZ,4
1418,1017JA,9
1419,1017JB,1
1420,1017JC,5
1421,1017JD,11
1422,1017JE,5
1423,1017JG,5
1424,1017JH,8
1425,1017JJ,9
1426,1017JK,10
1427,1017JL,11
1428,1017JM,5
1429,1017JN,11
1430,1017JR,9
1431,1017JS,8
1432,1017JT,8
1433,1017JV,11
1434,1017JW,11
1435,1017JX,8
1436,1017JZ,5
1437,1017KA,11
1438,1017KB,10
1439,1017KC,5
1440,1017KD,8
1441,1017KE,9
1442,1017KG,9
1443,1017KH,10
1444,1017KJ,11
1445,1017KK,11
1446,1017KL,10
1447,1017KM,5
1448,1017KN,10
1449,1017KP,9
1450,1017KR,11
1451,1017KS,8
1452,1017KT,9
1453,1017KV,10
1454,1017KW,11
1455,1017KX,9
1456,1017KZ,8
1457,1017LA,11
1458,1017LB,11
1459,1017LC,10
1460,1017LD,5
1461,1017LE,10
1462,1017LG,10
1463,1017LH,7
1464,1017LJ,5
1465,1017LK,8
1466,1017LL,11
1467,1017LM,8
1468,1017LP,8
1469,1017LR,10
1470,1017LS,2
1471,1017LT,10
1472,1017LV,8
1473,1017LW,10
1474,1017LZ,11
1475,1017MA,5
