,PC6,NWIRP
717,1017JT,10
718,1017JX,20
719,1017JZ,20
720,1017KB,10
721,1017KG,10
722,1017KH,10
723,1017KT,20
724,1017LP,20
725,1017LS,10
726,1017MA,20
727,1017NE,20
728,1017NG,30
729,1017NH,20
730,1017NL,10
731,1017NM,30
732,1017NP,20
733,1017PH,20
734,1017PL,20
735,1017PN,20
736,1017PW,20
737,1017PX,40
738,1017RA,20
739,1017RD,30
740,1017RE,20
741,1017RH,30
742,1017RJ,30
743,1017RK,10
744,1017RL,10
745,1017RS,30
746,1017RT,20
747,1017RV,20
748,1017RW,20
749,1017SC,10
750,1017SE,10
751,1017SH,20
752,1017SJ,10
753,1017SN,20
754,1017SR,20
755,1017ST,10
756,1017SX,10
757,1017SZ,20
758,1017TB,10
759,1017TC,20
760,1017TD,10
761,1017TE,10
762,1017TG,10
763,1017TJ,20
764,1017TK,20
765,1017TN,20
766,1017TP,10
767,1017TR,10
768,1017TT,10
769,1017TV,10
770,1017TW,10
771,1017VD,10
772,1017VE,10
773,1017VG,20
774,1017VH,20
775,1017VN,30
776,1017VT,10
777,1017VV,10
778,1017VW,40
779,1017WD,10
780,1017WG,20
781,1017WH,10
782,1017WJ,10
783,1017WT,20
784,1017WV,10
785,1017WZ,10
786,1017XA,10
787,1017XB,10
788,1017XE,20
789,1017XG,10
790,1017XJ,10
791,1017XS,10
792,1017XT,20
793,1017ZB,10
794,1017ZJ,10
795,1017ZL,10
796,1017ZM,20
797,1017ZS,10
798,1017ZT,10
799,1017ZV,10
800,1017ZX,20
801,1018AC,30
802,1018AD,10
803,1018AK,20
804,1018AM,10
805,1018AN,30
806,1018AR,30
807,1018AT,30
808,1018AV,10
809,1018AX,10
810,1018AZ,10
811,1018BA,10
812,1018BB,10
813,1018BE,10
814,1018BG,10
815,1018BJ,20
816,1018BK,10
817,1018BS,20
818,1018BT,10
819,1018BW,20
820,1018CD,30
821,1018CE,10
822,1018CL,20
823,1018CM,20
824,1018CN,20
825,1018CS,20
826,1018CW,20
827,1018DD,20
828,1018DH,10
829,1018DM,20
830,1018DN,20
831,1018DP,70
832,1018DR,10
833,1018DS,10
834,1018DT,20
835,1018DW,10
836,1018DZ,20
837,1018EA,20
838,1018EC,20
839,1018EG,20
840,1018ET,10
841,1018EZ,10
842,1018GA,20
843,1018GD,30
844,1018GE,20
845,1018GG,20
846,1018GJ,20
847,1018GV,40
848,1018GW,10
849,1018HE,20
850,1018HL,40
851,1018HM,30
852,1018HN,20
853,1018HP,50
854,1018HR,40
855,1018HS,50
856,1018HT,30
857,1018HV,40
858,1018HW,10
859,1018HX,50
860,1018HZ,20
861,1018JB,20
862,1018JC,50
863,1018JD,30
864,1018JG,40
865,1018JH,20
866,1018JJ,50
867,1018JK,20
868,1018JL,30
869,1018JM,50
870,1018JN,30
871,1018JP,20
872,1018JT,30
873,1018JV,20
874,1018JW,50
875,1018JX,30
876,1018JZ,30
877,1018KA,20
878,1018KB,20
879,1018KD,10
880,1018KE,20
881,1018KH,20
882,1018KJ,10
883,1018KM,20
884,1018KN,10
885,1018KP,50
886,1018KR,30
887,1018KS,50
888,1018KT,30
889,1018KV,60
890,1018KW,50
891,1018LJ,30
892,1018LK,20
893,1018LM,70
894,1018LN,70
895,1018LP,30
896,1018LR,30
897,1018LT,50
898,1018LW,70
899,1018LX,30
900,1018LZ,40
901,1018MM,20
902,1018MR,20
903,1018MS,20
904,1018MX,10
905,1018MZ,30
906,1018NA,20
907,1018NB,20
908,1018ND,40
909,1018NE,60
910,1018NG,40
911,1018NJ,70
912,1018NK,30
913,1018NL,20
914,1018NM,10
915,1018NR,60
916,1018NW,40
917,1018NX,40
918,1018NZ,70
919,1018PA,60
920,1018PB,60
921,1018PE,20
922,1018PJ,50
923,1018PR,30
924,1018PS,10
925,1018PT,40
926,1018PV,30
927,1018PW,20
928,1018PX,10
929,1018RC,50
930,1018RG,40
931,1018RH,60
932,1018RJ,30
933,1018RK,60
934,1018RR,10
935,1018RW,20
936,1018RZ,10
937,1018SG,30
938,1018SH,40
939,1018SJ,60
940,1018SK,30
941,1018SL,40
942,1018SM,50
943,1018SZ,20
944,1018TK,30
945,1018TN,10
946,1018TR,10
947,1018TV,20
948,1018TW,10
949,1018TZ,10
950,1018VG,10
951,1018VJ,20
952,1018VK,10
953,1018VM,20
954,1018VP,30
955,1018VR,20
956,1018VT,10
957,1018VV,10
958,1018VW,10
959,1018VX,10
960,1018WA,20
961,1018WC,10
962,1018WE,30
963,1018WG,10
964,1018WM,30
965,1018WP,30
966,1018WW,10
967,1018WZ,20
968,1018XB,30
969,1018XC,30
970,1018XD,10
971,1018XE,10
972,1018XG,60
973,1018XH,10
974,1018XJ,20
975,1018XK,10
976,1018XL,20
977,1018XM,20
978,1018XZ,30
979,1018ZC,20
980,1018ZD,20
981,1018ZE,10
982,1018ZG,10
983,1018ZH,30
984,1018ZJ,20
985,1018ZK,20
986,1018ZL,20
987,1018ZM,20
988,1018ZN,30
989,1018ZP,30
990,1018ZR,20
991,1018ZS,10
992,1018ZT,10
993,1018ZV,10
994,1018ZW,10
995,1018ZX,40
996,1018ZZ,30
997,1019AX,10
998,1019AZ,10
999,1019BB,10
1000,1019BK,10
1001,1019BM,40
1002,1019BP,40
1003,1019BW,20
1004,1019BX,10
1005,1019CL,50
1006,1019CN,40
1007,1019CP,40
1008,1019CR,40
1009,1019CS,20
1010,1019CT,30
1011,1019CV,30
1012,1019CX,50
1013,1019DC,10
1014,1019DH,40
1015,1019DL,30
1016,1019DM,40
1017,1019DN,30
1018,1019DP,40
1019,1019DR,10
1020,1019DS,10
1021,1019DT,20
1022,1019DV,20
1023,1019DX,10
1024,1019EA,30
1025,1019EB,50
1026,1019EC,60
1027,1019EE,30
1028,1019EG,40
1029,1019EJ,40
1030,1019EL,60
1031,1019EN,60
1032,1019EP,70
1033,1019ER,70
1034,1019ES,30
1035,1019ET,60
1036,1019EV,50
1037,1019EW,10
1038,1019EX,60
1039,1019GA,60
1040,1019GB,60
1041,1019GC,40
1042,1019GD,40
1043,1019GE,60
1044,1019GG,40
1045,1019GH,60
1046,1019GJ,40
1047,1019GK,70
1048,1019GL,60
1049,1019GN,70
1050,1019GP,70
1051,1019GR,50
1052,1019GS,60
1053,1019GT,60
1054,1019GV,50
1055,1019GW,30
1056,1019GX,50
1057,1019HB,30
1058,1019HC,40
1059,1019HD,20
1060,1019HE,10
1061,1019HM,10
1062,1019HN,10
1063,1019HR,10
1064,1019HW,70
1065,1019HX,50
1066,1019HZ,20
1067,1019JD,40
1068,1019JE,10
1069,1019JG,30
1070,1019JH,50
1071,1019JJ,60
1072,1019JL,40
1073,1019JR,40
1074,1019JT,30
1075,1019JV,30
1076,1019JX,20
1077,1019JZ,10
1078,1019KA,50
1079,1019KB,50
1080,1019KD,50
1081,1019KE,10
1082,1019KH,60
1083,1019KJ,20
1084,1019KK,10
1085,1019KL,60
1086,1019KN,60
1087,1019KR,10
1088,1019KS,10
1089,1019KV,10
1090,1019KW,30
1091,1019KX,20
1092,1019LD,10
1093,1019LG,10
1094,1019LH,10
1095,1019LJ,10
1096,1019LK,10
1097,1019LM,30
1098,1019LN,40
1099,1019LP,30
1100,1019LR,30
1101,1019LS,20
1102,1019LW,50
1103,1019LX,20
1104,1019LZ,20
1105,1019MB,30
1106,1019ME,20
1107,1019MG,10
1108,1019MJ,30
1109,1019MK,30
1110,1019MN,50
1111,1019MP,50
1112,1019MR,60
1113,1019MS,50
1114,1019NB,20
1115,1019NC,10
1116,1019ND,10
1117,1019NL,20
1118,1019PB,30
1119,1019PC,10
1120,1019PE,20
1121,1019PK,10
1122,1019PL,10
1123,1019PM,10
1124,1019PN,30
1125,1019PP,20
1126,1019PR,20
1127,1019PS,10
1128,1019PT,30
1129,1019PV,40
1130,1019PW,10
1131,1019PX,10
1132,1019RB,10
1133,1019RE,10
1134,1019RJ,20
1135,1019RK,20
1136,1019RL,10
1137,1019RM,10
1138,1019RN,10
1139,1019RR,10
1140,1019RS,20
1141,1019RV,10
1142,1019RX,40
1143,1019RZ,30
1144,1019SB,10
1145,1019SE,10
1146,1019SL,20
1147,1019TB,10
1148,1019TD,10
1149,1019TE,10
1150,1019TH,10
1151,1019TK,10
1152,1019TL,20
1153,1019TR,20
1154,1019TS,30
1155,1019TT,10
1156,1019TW,30
1157,1019TX,20
1158,1019TZ,50
1159,1019WB,40
1160,1019WC,10
1161,1019WD,20
1162,1019WE,10
1163,1019WG,10
1164,1019WJ,10
1165,1019WK,10
1166,1019WL,10
1167,1019WN,10
1168,1019WV,10
1169,1019WX,10
1170,1019WZ,10
1171,1019XA,20
1172,1019XB,10
1173,1019XC,10
1174,1021BP,30
1175,1021BR,40
1176,1021BS,40
1177,1021BT,60
1178,1021BV,50
1179,1021BW,60
1180,1021BX,70
1181,1021BZ,40
1182,1021CE,70
1183,1021CG,50
1184,1021CJ,80
1185,1021CK,60
1186,1021CL,80
1187,1021CM,70
1188,1021CN,30
1189,1021CR,50
1190,1021CS,60
1191,1021CT,80
1192,1021CV,60
1193,1021CW,50
1194,1021CZ,50
1195,1021EB,30
1196,1021EC,30
1197,1021ED,60
1198,1021EE,40
1199,1021EG,40
1200,1021EH,80
1201,1021EJ,60
1202,1021EK,50
1203,1021EL,70
1204,1021EN,60
1205,1021EP,50
1206,1021ES,40
1207,1021ET,50
1208,1021EV,60
1209,1021EW,30
1210,1021EX,40
1211,1021EZ,40
1212,1021GB,60
1213,1021GC,60
1214,1021GD,60
1215,1021GE,50
1216,1021GG,70
1217,1021GH,40
1218,1021GJ,70
1219,1021GK,40
1220,1021GL,40
1221,1021GM,70
1222,1021GN,40
1223,1021GP,30
1224,1021GS,20
1225,1021GV,70
1226,1021GW,50
1227,1021GX,40
1228,1021GZ,70
1229,1021HC,40
1230,1021HJ,50
1231,1021HK,60
1232,1021HL,50
1233,1021HM,30
1234,1021HN,60
1235,1021HP,50
1236,1021HT,50
1237,1021HV,60
1238,1021HW,40
1239,1021HX,40
1240,1021HZ,60
1241,1021JA,30
1242,1021JB,20
1243,1021JC,30
1244,1021JD,40
1245,1021JE,40
1246,1021JG,70
1247,1021JH,50
1248,1021JJ,50
1249,1021JV,30
1250,1021LA,40
1251,1021LB,20
1252,1021LE,20
1253,1021LG,70
1254,1021LH,30
1255,1021LJ,40
1256,1021LK,20
1257,1021LL,50
1258,1021LM,80
1259,1021LN,50
1260,1021LP,50
1261,1021LR,40
1262,1021LS,50
1263,1021LT,70
1264,1021LV,70
1265,1021LW,70
1266,1021LX,70
1267,1021LZ,40
1268,1021NA,30
1269,1021NB,30
1270,1021ND,40
1271,1021NE,40
1272,1021NG,20
1273,1021NH,20
1274,1021NJ,40
1275,1021NK,50
1276,1021NL,20
1277,1021NM,30
1278,1021NN,40
1279,1021NP,20
1280,1021NR,20
1281,1021NS,30
1282,1021NT,70
1283,1021NV,60
1284,1021NW,40
1285,1021NX,40
1286,1021NZ,60
1287,1021PA,80
1288,1021PC,30
1289,1021PD,60
1290,1021PE,70
1291,1021PG,70
1292,1021PH,50
1293,1021PK,40
1294,1021PP,30
1295,1021PR,30
1296,1021PS,30
1297,1021PT,50
1298,1021PW,50
1299,1021TR,30
1300,1021TS,70
1301,1021TT,70
1302,1021TV,60
1303,1021TW,60
1304,1021TX,50
1305,1021TZ,50
1306,1021VA,70
1307,1021VB,50
1308,1021VC,40
1309,1021VD,70
1310,1021VE,60
1311,1021VG,60
1312,1021VH,90
1313,1021VK,50
1314,1021VL,30
1315,1021VN,60
1316,1021VP,50
1317,1021VR,40
1318,1021VS,60
1319,1021VT,60
1320,1021VV,60
1321,1021VW,70
1322,1021VX,40
1323,1021VZ,80
1324,1022AH,60
1325,1022AJ,50
1326,1022AK,60
1327,1022AL,70
1328,1022AN,30
1329,1022AP,70
1330,1022AR,30
1331,1022AS,60
1332,1022AT,40
1333,1022AV,50
1334,1022AW,30
1335,1022AX,70
1336,1022AZ,50
1337,1022BA,80
1338,1022BB,50
1339,1022BC,30
1340,1022BD,40
1341,1022BE,50
1342,1022BG,50
1343,1022BH,20
1344,1022BJ,60
1345,1022BK,60
1346,1022BL,40
1347,1022CA,50
1348,1022CB,50
1349,1022KB,30
1350,1022KC,20
1351,1022KE,30
1352,1022KH,20
1353,1022KJ,20
1354,1022KK,30
1355,1022KL,30
1356,1022XJ,60
1357,1022XL,30
1358,1022XS,30
1359,1022XV,30
1360,1022XW,30
1361,1023AG,30
1362,1023AL,40
1363,1023AW,30
1364,1023BA,30
1365,1023BD,30
1366,1023BL,10
1367,1023CB,20
1368,1023CL,20
1369,1023CP,30
1370,1023CV,10
1371,1023EA,30
1372,1023EC,20
1373,1023ED,30
1374,1023EG,20
1375,1023EJ,20
1376,1023EL,10
1377,1023EP,50
1378,1023NG,10
1379,1023NN,10
1380,1023NT,10
1381,1023SW,30
1382,1023TE,40
1383,1023TJ,40
1384,1023TN,30
1385,1023TV,20
1386,1023VC,20
1387,1023VD,30
1388,1023VK,20
1389,1023VL,30
1390,1023VS,40
1391,1023VT,20
1392,1023VW,20
1393,1023XA,30
1394,1023XB,20
1395,1023XC,20
1396,1023XE,20
1397,1023XG,30
1398,1023XH,30
1399,1023XP,20
1400,1023XR,30
1401,1023XT,30
1402,1023ZB,20
1403,1024AC,20
1404,1024AK,30
1405,1024AL,20
1406,1024AM,30
1407,1024AN,30
1408,1024AP,30
1409,1024AR,30
1410,1024AS,40
1411,1024AV,50
1412,1024AW,40
1413,1024AX,10
1414,1024AZ,10
1415,1024BB,40
1416,1024BD,20
1417,1024BE,30
1418,1024BG,50
1419,1024BH,50
1420,1024BJ,50
1421,1024BK,60
1422,1024BL,40
1423,1024BM,50
1424,1024BN,30
1425,1024BP,80
1426,1024BR,60
1427,1024BS,40
1428,1024BT,30
1429,1024BV,10
1430,1024BW,30
1431,1024BX,90
1432,1024CG,70
1433,1024CH,40
1434,1024CJ,50
1435,1024CK,80
1436,1024CL,60
1437,1024CM,70
1438,1024CN,50
1439,1024CP,50
1440,1024CR,60
1441,1024CS,50
1442,1024CT,60
1443,1024CV,60
1444,1024CW,70
1445,1024CX,40
1446,1024CZ,80
1447,1024DA,40
1448,1024DC,20
1449,1024EA,80
1450,1024EH,40
1451,1024EJ,50
1452,1024EK,60
1453,1024EL,70
1454,1024EM,90
1455,1024EN,90
1456,1024EP,80
1457,1024ER,90
1458,1024ES,70
1459,1024ET,80
1460,1024EV,90
1461,1024EW,70
1462,1024EX,90
1463,1024EZ,40
1464,1024GA,70
1465,1024GB,90
1466,1024GC,70
1467,1024GE,80
1468,1024GG,80
1469,1024GH,90
1470,1024GJ,80
1471,1024GK,90
1472,1024GL,80
